UniqueCount	AmbigCount
0	338
0	2288
17	1408
136	5139
45	1751
0	3823
43	664
109	145
12	2707
1	3688
0	1590
66	350
1	1564
2	1313
36	1543
74	149
175	207
60	2690
70	3245
12	844
177	3049
59	364
155	1
113	1
85	276
155	229
186	4106
0	3968
303	0
259	3715
151	342
97	7398
0	8782
0	9109
0	8174
0	9210
0	7115
95	250
3	1299
14	1154
23	1259
0	2569
149	3525
0	3193
0	3621
0	3557
46	2199
138	6979
0	2431
0	1584
163	122
272	3766
0	580
7	1480
3	564
0	995
0	1090
258	0
0	1615
0	1361
0	967
17	1946
206	1389
0	1231
246	579
542	473
67	873
252	400
0	5381
0	5366
0	1051
26	593
190	2048
59	381
40	2105
68	1984
50	1747
545	1114
355	1114
37	1044
0	1096
18	995
0	211
2	2369
113	466
57	1858
140	127
7	2269
53	724
1029	134
99	134
20	1939
20	2733
0	3181
111	3369
85	2809
0	3180
279	5
0	77
400	227
68	258
52	0
108	0
66	8868
53	8840
77	8856
85	616
42	388
125	19
143	20
125	7059
152	4081
33	8088
141	8239
0	1162
8	834
504	17
26	607
0	687
906	1493
895	1224
71	822
96	3
65	381
308	1037
166	1013
107	1038
241	372
213	16
109	120
118	45
1266	1828
133	1825
79	1244
106	1077
238	521
200	0
101	3936
0	3658
0	3714
0	3992
77	3883
37	2773
1	3592
1000	158
118	158
173	47
938	3630
32	361
0	3630
33	298
74	18
67	1098
95	1098
81	679
178	1517
8	3762
64	3374
68	697
284	1
41	48
140	54
144	241
25	688
27	727
30	683
52	706
60	779
203	830
197	226
108	1848
38	1907
202	351
0	8405
21	7369
0	8011
7	8468
56	7727
162	6690
0	6379
80	816
44	5387
195	3448
59	212
106	438
184	2271
47	737
97	0
113	18
100	0
998	238
78	238
797	3093
1107	2711
0	829
8	583
17	543
50	348
4075	0
0	4939
128	4610
135	1099
0	8447
0	8498
2	8498
88	192
253	377
132	3066
301	1712
469	2287
15	2321
140	1976
44	2327
5	648
12	726
140	278
55	5167
0	5521
92	5346
728	5147
99	318
567	825
228	330
125	3638
263	1265
61	4049
20	4326
46	4063
224	105
93	90
84	1520
170	1071
83	1211
107	158
546	1016
0	393
111	731
0	5399
73	5854
121	5600
48	5311
0	5090
281	5185
20	4487
65	1389
112	5038
10	1872
40	1687
124	243
130	2185
138	17
157	18
75	18
83	28
35	4846
63	4846
97	0
27	1051
14	1033
29	756
115	500
100	349
576	156
0	8697
0	8684
0	8947
0	9458
51	8009
0	9253
0	9100
8	4472
358	0
1240	0
297	0
133	0
322	0
246	0
75	0
156	0
225	0
211	0
286	0
160	0
388	0
136	0
314	0
93	0
138	0
99	0
264	0
88	0
114	0
94	0
71	0
300	0
164	0
60	0
172	0
164	0
76	0
79	0
162	0
200	0
172	0
274	0
190	0
163	7708
265	100
210	7656
127	4263
183	198
314	1187
41	1077
131	836
39	800
206	54
337	793
0	3073
35	2887
37	2714
406	1352
348	20
117	871
2512	358
72	165
88	169
341	98
940	4
88	4
57	948
78	867
52	911
194	8
6227	754
186	53
148	0
124	1370
284	328
0	3435
0	2095
0	2774
153	1931
4	2430
72	2719
84	39
86	748
450	2572
51	247
7	1100
1285	862
124	359
43	654
66	631
74	936
107	1060
125	0
63	1218
1	3095
114	1839
61	713
87	1114
185	1637
67	745
52	17501
0	17556
0	8488
0	17228
0	17562
2	11654
27	450
290	24
74	802
0	5452
17	1100
41	6380
271	3213
50	5448
306	2295
155	4624
213	0
77	76
11	2664
79	2360
74	1080
28	1019
93	884
64	907
90	1795
84	115
242	1894
703	898
143	898
26	239
0	2729
706	4927
0	4755
32	147
66	4062
67	2069
0	1485
0	1870
67	1169
0	895
72	5853
157	1472
47	780
157	2364
42	883
95	2172
39	445
144	995
168	536
41	536
67	0
1068	154
15	154
251	2528
171	761
49	2656
82	1409
37	2597
327	2
130	108
116	2155
56	74
150	128
26	1887
46	345
136	585
124	0
330	95
145	15
323	2192
46	1781
0	2181
115	1754
8	6737
42	6684
88	6765
134	6439
370	1
141	0
118	53
196	595
526	3500
144	663
152	49
28	719
104	2088
62	1966
53	1554
139	3
180	879
112	749
96	13171
175	102
76	4478
307	9307
10	13359
447	8630
62	75
0	9238
86	1383
164	8
108	0
0	1725
51	1327
0	1260
0	1514
16	2004
247	3513
0	2483
128	1260
0	2306
94	0
168	3124
58	4250
71	4227
1	5251
39	3576
41	1723
142	2467
2	3832
46	3487
48	2871
151	896
92	276
173	531
19	3451
0	2762
115	764
66	3051
124	2399
98	216
70	619
316	440
0	831
156	3540
0	2952
175	3868
71	1294
56	337
108	48
41	1170
22	1148
196	83
16	858
132	1009
239	206
186	0
165	0
25	12795
163	773
22	479
3263	16139
0	14696
120	14399
0	15908
1	15069
0	12332
0	14008
111	308
56	2712
0	9888
146	0
237	8851
334	1476
107	85
32	1210
52	1166
165	0
194	699
86	71
2	126
0	1158
49	1130
0	1826
0	1151
22	590
0	1819
70	768
78	69
77	280
69	215
575	878
30	595
139	119
113	77
146	53
82	90
71	499
37	0
70	233
36	1094
59	1012
47	1113
561	1516
51	1510
5209	0
283	0
7	1623
2	1374
2	968
39	892
0	1255
0	1946
0	386
2	6226
0	6207
56	5872
2	6314
0	6193
36	1603
3	1104
51	995
511	94
81	0
26	8252
0	8645
0	8400
170	8205
214	8653
93	8365
185	8199
13	8192
0	8350
73	8270
32	995
973	397
159	75
154	2555
55	2555
0	7200
26	6669
128	6702
119	2492
100	2204
63	94
32	1760
429	0
24	950
63	0
49	306
363	188
77	80
67	0
163	0
1084	0
91	188
215	4532
42	3171
33	4792
41	4445
358	1898
89	318
18	2744
20	2426
13	2672
23	2382
3	1810
4	1719
112	956
57	1256
11	465
142	0
128	174
4	631
317	1173
65	1020
172	536
126	660
702	0
70	191
2376	955
24	143
628	621
338	502
0	4883
46	4736
112	0
183	74
240	163
187	1465
256	1306
30	1428
51	782
167	1071
127	858
1117	232
150	218
83	14
26	1541
89	1782
79	1778
9	1646
56	1646
162	0
676	923
751	2513
654	2510
20	1406
370	0
33	5078
22	5076
539	4792
75	222
67	366
84	340
126	243
48	2576
58	2463
56	2575
1023	2653
18	2812
101	720
31	1084
5	1087
126	1018
106	107
223	240
49	2311
71	12789
