gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	17143.7623745525	23645.1686007526	19846.4410790277	21951.4698902407	17317.8484859107	21733.1370657053
ENSG00000141959	PFKL	9879.86448435573	8790.71140285949	15387.2871666061	9481.12413281675	11337.7354739528	8378.39910198401
ENSG00000142149	HUNK	3393.32202513913	3666.72413280998	3877.11079199744	4140.75202451514	3691.62431338313	3110.62657445839
ENSG00000142156	COL6A1	4407.12863928228	4699.52798827032	5148.43628233688	42176.1820099317	23326.9738024503	49141.7044300314
ENSG00000142166	IFNAR1	1095.86495298674	1426.32152581859	2810.6105455546	3137.18960920182	1680.80266578932	1404.23616047191
ENSG00000142168	SOD1	1146.43886510253	1598.80047176959	1478.1131938568	1651.45849975186	967.719857875432	1336.07607703977
ENSG00000142173	COL6A2	6058.38113003533	5409.18511758544	5766.99394418983	5715.11103261494	4804.0669473136	6345.61274793631
ENSG00000142178	SIK1	2070.84275547375	2755.70888218551	2408.39440677113	3391.62455946284	4073.61093687105	2883.93897320318
ENSG00000142182	DNMT3L	986.616540604753	1228.19789731609	1626.64325755094	2118.92715854409	1750.23041719854	1397.44129221694
ENSG00000142185	TRPM2	10183.8613901149	11699.3334163388	10402.1458092288	12842.4361372557	10686.557278795	10804.4480044169
ENSG00000142188	TMEM50B	3134.28231836805	3697.57232492759	3085.0380555268	4975.83513833147	4395.30710255762	4670.904093549
ENSG00000142192	APP	11519.1234143558	9369.60657492089	12819.1027306992	77635.7349135797	89272.2921675314	109895.262932605
ENSG00000142197	DOP1B	4618.65097757714	4818.92052701124	6078.58138061087	3647.03526283988	3107.97276062708	4608.55363699879
ENSG00000142207	URB1	3357.78090234264	4814.63268870241	5165.42213728304	5341.65152360776	2289.19420063749	5248.70746175418
ENSG00000154639	CXADR	3443.79533676783	3951.34179840975	2116.19042577148	3934.10665181477	3314.95826133601	3503.7985247647
ENSG00000154640	BTG3	1560.519452621	1998.36751932321	1481.34759522868	1369.54492109712	1619.49186992472	1976.1760408768
ENSG00000154642	C21orf91	3973.39402437645	3750.94236273236	4717.24048453445	3337.14020360369	3059.5957756263	2998.51476469235
ENSG00000154645	CHODL	5373.52960867193	4587.38872644336	6114.1502564314	5736.26562643409	5576.74635593517	5826.80313190332
ENSG00000154646	TMPRSS15	2214.14347941591	2188.35701777455	1964.20068975939	2178.38718593429	1858.32434215532	2267.24950306503
ENSG00000154654	NCAM2	4805.14680243842	4153.47524973145	6868.80001379301	5535.16405029833	7129.02266585963	7056.51191340801
ENSG00000154719	MRPL39	1023.05650957384	1339.70385958353	1103.50461030138	932.590309562876	1039.06156604094	1345.33340981164
ENSG00000154721	JAM2	5779.31235797369	3985.55866136558	5098.1700414692	5524.97768181571	3968.58983174765	6119.01495841564
ENSG00000154723	ATP5PF	1672.65927432447	1680.80077834543	2070.4129512763	2065.46661577723	1810.34267576126	2509.73189760374
