gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	7178.24563542602	9882.30992869346	8303.53889089922	9193.01874954621	7408.98457169278	9049.87735993535
ENSG00000141959	PFKL	5620.20773387692	4991.47937496755	8746.45059385568	5394.40532852808	6589.92206063595	4739.91465770121
ENSG00000142149	HUNK	2202.29858657529	2375.38078394074	2514.36164645474	2687.89753723893	2448.05516066107	2007.73828127819
ENSG00000142156	COL6A1	3730.36759866173	3970.58064527334	4354.51361752211	35706.3557952723	20174.6905595407	41367.0180848695
ENSG00000142166	IFNAR1	3703.39667609582	4811.32294976021	9491.00656409086	10603.9171255764	5803.80083089079	4719.45060070988
ENSG00000142168	SOD1	1826.2121773581	2542.13423575557	2352.75353839546	2631.17879748521	1575.07980946355	2116.60403362459
ENSG00000142173	COL6A2	5933.14012843612	5287.66261616985	5643.46606156856	5598.02777805016	4807.17179603653	6180.30171287771
ENSG00000142178	SIK1	5360.3718803651	7120.08226034168	6229.36552470549	8780.87775629373	10774.0732246058	7424.06834136694
ENSG00000142182	DNMT3L	1337.22142032158	1661.6025882833	2203.0058875023	2872.45558686471	2423.83324206616	1883.63435232507
ENSG00000142185	TRPM2	3412.12835079129	3912.71193890712	3482.60504270778	4303.70660649614	3658.50181741903	3600.17458057244
ENSG00000142188	TMEM50B	5428.57401185633	6392.46275123824	5339.20485298138	8619.77631054577	7778.38531932129	8045.56779010231
ENSG00000142192	APP	10478.0680094742	8507.20728850366	11651.6603807217	70632.7007706743	82971.9019064532	99414.298394309
ENSG00000142197	DOP1B	2444.44462912996	2545.76728637857	3214.66485887227	1930.57814033184	1680.71796004706	2425.70399607591
ENSG00000142207	URB1	1665.49560088198	2383.73609795441	2560.14971100249	2650.01937967357	1160.18260549053	2589.11655045565
ENSG00000154639	CXADR	5404.9724327205	6190.19921844231	3318.78640678607	6175.67796498425	5316.02227207877	5468.9426955639
ENSG00000154640	BTG3	4174.26525175702	5335.68393844992	3959.46255852934	3664.11841115283	4426.31386139817	5257.07996729503
ENSG00000154642	C21orf91	3997.51704987023	3766.80344656512	4742.25731768486	3358.03722377921	3145.17866249996	3000.1500754124
ENSG00000154645	CHODL	3267.76225869158	2784.58338308659	3715.31226725737	3489.01167384756	3465.16784805533	3523.94603460758
ENSG00000154646	TMPRSS15	1978.22522495521	1951.60548052204	1753.57458336955	1946.6479250403	1696.46173573421	2014.54692637186
ENSG00000154654	NCAM2	3574.73498757171	3084.27217146303	5106.06654454659	4118.60412381306	5419.00764512727	5220.77969575068
ENSG00000154719	MRPL39	1426.8521355374	1865.05667210289	1537.8780780287	1300.9260416503	1480.72089550773	1866.02462997213
ENSG00000154721	JAM2	6307.09910623687	4341.5676363007	5559.50611217517	6030.68129917394	4425.29554529729	6641.14710549302
ENSG00000154723	ATP5PF	4331.56829294083	4344.68006785499	5357.51094108865	5349.80836433752	4790.17136235332	6463.57974413779
ENSG00000154727	GABPA	2059.89824798948	1458.61127844545	1475.2733882334	1036.23103219307	978.4592771237	1163.56038241201
ENSG00000154734	ADAMTS1	3185.90177378948	4269.45537340446	4124.63672290836	3595.98504964116	4132.84583658303	3759.88966539988
ENSG00000154736	ADAMTS5	352.596364019836	538.55351890343	418.231934095073	761.714183990467	336.467625990487	219.436035539629
ENSG00000155304	HSPA13	1400.97262658902	917.456960627998	994.436070953475	2041.87807037988	1048.46862912759	835.31389959553
ENSG00000155307	SAMSN1	16837.4655381911	11410.0533872222	11804.0267514875	17937.3888591729	15295.3409959154	17379.6615431273
ENSG00000155313	USP25	6477.65494323362	6111.031743588	5205.56795177247	5145.26574912283	5117.20110524325	5156.88034996332
ENSG00000156239	N6AMT1	1013.89853469471	1844.40972269915	1476.65661720209	1061.16117766081	1187.60315462299	1026.28404571628
ENSG00000156253	RWDD2B	3129.23455648455	3857.18499992906	2888.7736260631	3026.25168183545	3585.03735430714	5174.42601411992
ENSG00000156256	USP16	2415.562159622	3350.59638379404	2252.61304645404	3476.26239123111	2661.62840189059	2604.98733891768
ENSG00000156261	CCT8	6629.77048121257	8963.10701427106	5761.29721230676	8516.64758515066	6088.91925713206	7379.60647735929
ENSG00000156265	MAP3K7CL	7398.94893380876	8933.08034502334	8494.02666634926	9559.7564267571	6564.39150661364	7807.45100924997
ENSG00000156273	BACH1	22583.206999048	20718.6090155508	22530.9747353816	24977.2677920576	14191.8960549744	20602.6726869332
ENSG00000156282	CLDN17	259.362462882149	441.819677675893	428.907184125096	702.92179087566	827.993368791222	900.086300491446
ENSG00000156284	CLDN8	779.493095930437	793.788634904594	231.17116130346	378.868354273734	557.851059864278	363.857956203553
ENSG00000156299	TIAM1	3573.70997519541	3873.55632155341	2455.72734625658	4510.38016472387	4643.73207115247	2784.19184711192
ENSG00000156304	SCAF4	2903.83563557546	2449.91585968879	3101.6843958345	3047.57819617736	2955.59594269011	3074.53549890796
ENSG00000157538	VPS26C	9481.73088327164	9545.72547532335	9821.67342418058	9187.1881792343	9156.71351083299	8953.65843352462
ENSG00000157540	DYRK1A	12248.7446180232	12663.7113455256	11902.012704768	13633.6308466828	11666.8664349639	14404.5239270702
ENSG00000157542	KCNJ6	762.421261995193	1006.33354834865	715.976644724751	698.42739234346	1180.09046554108	646.795753721694
ENSG00000157551	KCNJ15	16195.1259473331	13584.3818674763	14471.2800573782	19373.168001685	12656.6389425983	15835.812106959
ENSG00000157554	ERG	7420.05106929548	6508.18049050914	7657.56392742214	7490.89049890079	7528.78804974141	8509.54332560935
ENSG00000157557	ETS2	1788.46571769933	2039.34249652342	1518.66260953771	1630.7695164021	2137.45128508773	1924.93667794961
ENSG00000157578	LCA5L	14765.2860767243	11374.6274626667	10807.9924697452	11807.832468573	10077.5909663876	11707.7955116975
ENSG00000157601	MX1	12935.066546561	12304.70501327	13512.0234815693	17294.9510570723	13948.0622563851	13329.431795259
ENSG00000157617	C2CD2	4518.2865392408	3891.9851387554	4523.79063795893	3692.81360160744	4358.69965097388	4599.85742329794
ENSG00000159055	MIS18A	1254.87997605565	1715.49965200014	1505.42360879233	1550.19894751788	1496.04732529581	2027.98818264987
ENSG00000159079	CFAP298	5110.61400714666	4331.1783132455	3891.5359817578	4595.54791745717	4545.56823126193	5197.39591533094
ENSG00000159082	SYNJ1	5262.40867050396	6719.98520145955	6021.59642976808	5906.57120691936	5732.39977736136	6040.0723018068
ENSG00000159086	PAXBP1	4098.06582303728	6510.68438050652	5240.38714888562	5058.10038917373	4541.18958905585	4692.38306298318
ENSG00000159110	IFNAR2	5615.50239590864	5616.91514549058	5474.09770208976	5541.14937272994	5020.15536030076	6148.78390440621
ENSG00000159128	IFNGR2	2442.93940066905	3993.78669811659	3144.87872257323	3251.13626685314	2835.73279912221	2991.48216716975
ENSG00000159131	GART	8691.65476641494	10674.569420548	10084.5232099399	10923.3296376266	10108.0071209674	9908.76187063868
ENSG00000159140	SON	13246.1689739637	13236.0165518561	13586.2330854265	13393.0278228167	10850.1019883292	13636.454865137
ENSG00000159147	DONSON	6881.79687589331	7430.20049950291	7771.03376014892	7699.69123284018	6332.52982814791	5232.68768701846
ENSG00000159197	KCNE2	449.459595926315	411.174720076311	665.739296884575	388.33909386728	385.281449464882	698.536474981539
ENSG00000159200	RCAN1	8891.33735163864	8711.18432767939	8741.58843516757	7580.45332943312	7654.66130734439	8021.48922721729
ENSG00000159212	CLIC6	586.511469299987	895.722052448129	868.869150857418	909.983271792433	944.333813092084	1331.02711038695
ENSG00000159216	RUNX1	17669.547332569	15202.414256712	19495.165018348	15692.851838931	19592.2308559866	13743.2263760675
ENSG00000159228	CBR1	2881.5284645049	2529.23172763114	2407.75756959271	2564.94560010584	2979.64958089177	2554.92347915246
ENSG00000159231	CBR3	873.027166473212	888.986444815544	646.640082364682	471.450198771179	332.252188426301	270.885732151455
ENSG00000159256	MORC3	6454.16740269167	7891.85278426578	7252.40428799614	8663.88359890431	6529.16400016302	6852.34908704841
ENSG00000159259	CHAF1B	1338.55026666518	1059.26936366777	1446.59730281767	1722.67817014964	1578.43705288748	1500.34674991057
ENSG00000159261	CLDN14	2593.45953770249	2625.73081387339	2868.63689136941	3487.86769711479	3547.34481603506	2634.40185013307
ENSG00000159263	SIM2	2384.69676195993	2764.83574286959	2646.27434538992	1934.70841751829	2342.91963232249	3239.6460266891
ENSG00000159267	HLCS	3619.78608645644	2658.49265637657	2785.70368956173	3901.77870323886	3567.42623079262	3101.32612381369
ENSG00000160179	ABCG1	5719.91823477224	5939.00432728853	4689.52766230029	5459.92462829942	4042.15815401579	4666.61419947297
ENSG00000160180	TFF3	2525.3767925036	4767.4745618342	2973.71582186255	2725.86909053924	3188.19158100729	3025.97954887672
ENSG00000160181	TFF2	1351.5561343599	2171.08824682749	1795.0497950292	2590.83903586499	1631.80499933025	2532.49360926907
ENSG00000160182	TFF1	501.306879209657	954.966539822072	555.545620522653	1012.88030481958	717.311820110745	779.727435712969
ENSG00000160183	TMPRSS3	4770.38124226079	4479.13468722992	4238.0500554096	4196.78704243521	3870.46633462454	4521.80084613694
ENSG00000160185	UBASH3A	5589.30002504467	4752.70463647472	4731.75627376108	5413.89433862773	3877.56398361325	4638.32993541668
ENSG00000160188	RSPH1	1637.32457673712	1434.40824508831	1291.01346129199	1292.06305644886	1442.15401873124	1529.36637617546
ENSG00000160190	SLC37A1	4585.69219129101	5507.38198727698	5884.35149010792	5210.63373673501	5855.24586430048	4772.60467075754
ENSG00000160191	PDE9A	14506.5800829482	12659.5179497495	15265.5642591927	15115.6017874102	12920.496899236	14184.7491740465
ENSG00000160193	WDR4	3128.2965791721	3491.20308877776	3057.07607848123	3465.00825117716	2977.19058412627	3721.70289860709
ENSG00000160194	NDUFV3	1814.32455566113	2518.43702089206	1817.92310477546	1579.27318449945	1882.83268389865	2014.39406685674
ENSG00000160199	PKNOX1	7333.17078258681	6781.27004141664	6952.38851118622	7780.72610261469	5269.82905778953	6684.78211787811
ENSG00000160200	CBS	7993.68778926895	9633.97968159014	8190.36512147856	8812.74365026953	8740.7713709873	9771.50278457185
ENSG00000160201	U2AF1	4762.11545105837	6844.20909040739	5094.88800393029	5725.64653343072	5479.55258857594	5887.97005996845
ENSG00000160202	CRYAA	2900.56944169854	2168.00518749581	3514.37963548261	3473.61855380762	2471.46984243273	2980.16869026404
ENSG00000160207	HSF2BP	1057.36743268626	1192.92800500805	720.415501121852	993.029092364147	684.614410657123	1285.06257426022
ENSG00000160208	RRP1B	721.310179707451	700.582603033699	428.956372698208	859.530102304407	1208.55962891468	674.804144945794
ENSG00000160209	PDXK	12010.6967931817	11670.3434279861	11527.0215905832	11083.0977174009	10578.8793522638	12248.4105030958
ENSG00000160213	CSTB	2140.81315163701	1730.61725290427	1491.9215238304	2204.05089262921	2301.39093176808	1551.0102782384
ENSG00000160214	RRP1	2820.2361393786	3360.75143526901	2945.87591413351	3227.19031919924	4772.70448573552	3925.2542908277
ENSG00000160216	AGPAT3	12506.3257877804	10655.8692383483	10783.7408098073	10822.698095614	11241.4841918419	11222.1647741718
ENSG00000160218	TRAPPC10	8310.5645759926	5824.14779303083	7232.65656687942	6751.79460555238	7649.00460583853	8147.1556108269
ENSG00000160221	GATD3A	7333.46348496964	7111.57036396997	8148.17328571568	8574.9425077869	7836.14290956813	8461.27443131682
ENSG00000160223	ICOSLG	2093.13930103488	1765.79195910869	2363.13230728202	2609.93444765272	1665.51848237065	1848.36412710626
ENSG00000160224	AIRE	2376.25959501702	2203.44057166487	2338.52716096302	2834.34068541365	2088.50049575163	2312.29550008846
ENSG00000160226	CFAP410	3270.12150618591	4016.10655707346	3659.28421994824	4172.49020099741	3529.41229693736	2943.22945930026
ENSG00000160233	LRRC3	214.770364349994	291.623914953249	283.088890601154	309.310211387079	410.083531404082	297.058200104136
ENSG00000160255	ITGB2	15080.8009881226	13658.8076844838	13392.1842366425	15705.3347580049	13258.4934035863	16275.0137455046
ENSG00000160256	FAM207A	3235.42076911442	2105.74399094453	2806.05070465398	2686.56541947555	2659.97348232415	3146.24255036863
ENSG00000160282	FTCD	9009.19673034761	9219.8649614626	8479.29767769197	10461.5290445837	7895.95814736478	8645.24367299512
ENSG00000160284	SPATC1L	1271.04474918241	1072.91561959691	736.815896250926	1265.87473100783	845.729282569267	916.784642871172
ENSG00000160285	LSS	7333.62853207868	12119.2150165665	9297.41976725161	11333.7061536068	9500.19446504787	7029.10321619429
ENSG00000160294	MCM3AP	11826.0526753974	15009.5618528247	11699.9057927544	15844.5159680497	10629.1972189057	19339.5743245531
ENSG00000160298	C21orf58	4405.09732965653	4758.22207358761	4184.45977234094	5398.38434022991	4126.33421349348	5209.24912085086
ENSG00000160299	PCNT	3307.75663630799	4328.69014668739	4749.6919956604	5310.48256021161	3930.2842617007	3904.78784845459
ENSG00000160305	DIP2A	5175.95197765054	4988.93277771762	4272.31367916263	5654.11736514	5419.64392096487	5286.95721566551
ENSG00000160307	S100B	1723.45241547516	1658.2698957194	1214.32315715122	1587.54675306492	2129.19912356573	1776.66247067147
ENSG00000160310	PRMT2	7840.827882569	6759.04468457111	9175.85156752711	8440.48401207336	8647.99412072338	8329.95099443239
ENSG00000166265	CYYR1	1074.23126481895	934.905780878906	881.646166792641	954.950268991387	1517.87714155687	970.177532282743
ENSG00000166351	POTED	1186.18053012353	1407.34232040728	583.673753851179	1490.81501474276	905.999408209816	1232.15607939403
ENSG00000166979	EVA1C	6546.47260577129	6019.35868725966	6799.92423421794	9414.20158290712	9015.06182964502	7239.69294169028
ENSG00000170262	MRAP	2665.34792928354	2807.06380201772	2392.46562778633	2348.48604517127	1897.16835432396	2263.37579346428
ENSG00000171189	GRIK1	3334.12533252568	4240.72907601981	3316.99784152995	3273.13479174612	3644.23678804967	3627.62869544795
ENSG00000171587	DSCAM	998.792780925026	1462.16645486462	1229.69081469071	1275.9582325038	753.884337379489	919.008301674766
ENSG00000173276	ZBTB21	4902.43192612662	4819.58676940266	5734.30656648498	3537.25599786452	4381.2027340067	4796.76877507414
ENSG00000173638	SLC19A1	6569.33841084123	7435.81750988124	7287.37028028446	6940.26366342302	6087.51497295542	5990.23498603986
ENSG00000175894	TSPEAR	2064.03130398252	2243.09994307624	1285.50578299292	1763.67773226383	1862.29091710814	1607.94274860816
ENSG00000177398	UMODL1	7311.55166118758	6767.40079063323	6131.61743008998	8102.59268678418	7326.33038628621	6018.79179038991
ENSG00000177692	DNAJC28	2112.93009538187	2124.23135125813	2505.07736289925	2558.3410620655	2013.89985238006	1986.47211444134
ENSG00000180509	KCNE1	3698.57558216743	4066.31338835703	4582.96802950345	3678.58765020755	3895.77402344975	5596.33250741025
ENSG00000180530	NRIP1	3396.26585367944	3833.60751008761	4425.53524071709	5343.01933788196	3319.27752604568	3509.31258389572
ENSG00000182093	WRB	14546.3412694202	16889.2598808943	14819.5731291136	15434.927606188	15299.5417969487	16624.911856976
ENSG00000182240	BACE2	10595.2037119647	9368.19723551052	13403.7513579683	10420.572647075	8712.18712581053	14360.7787983052
ENSG00000182362	YBEY	4965.9213484712	5636.64975318904	5348.37065710599	5859.72659071975	6247.1942238211	5663.27033850124
ENSG00000182591	KRTAP11-1	566.290194028888	481.684963288904	419.832084771391	766.346313727088	360.751730606135	587.34188638931
ENSG00000182670	TTC3	17419.6640143544	14539.4740394689	18224.424091891	20053.7181101329	20301.8324894059	17322.1696516262
ENSG00000182816	KRTAP13-2	481.63253031206	294.245079221479	380.871323029083	520.150052867414	689.288368516118	499.529820274375
ENSG00000182871	COL18A1	2658.83429172628	3831.28279575812	3241.18910904465	3223.89498134681	3061.59992091692	2610.22748854033
ENSG00000183036	PCP4	2065.79772663289	3321.97596949049	2744.61773496699	2596.75932129177	2449.43914059127	3303.549181284
ENSG00000183067	IGSF5	1009.71642422848	1744.1783038379	1604.19211830294	2056.97417638005	1728.49018349711	1798.04908785175
ENSG00000183145	RIPPLY3	1841.12867756581	1844.65078443411	933.005961999356	929.392171061983	1241.96530548617	2217.3796836549
ENSG00000183255	PTTG1IP	4236.80896864115	3808.92326386077	4567.75066915713	5714.88817157023	4981.3618903181	4370.81928974973
ENSG00000183421	RIPK4	988.144514752345	1191.51288831919	1049.96364131482	987.247052895186	733.487502525982	796.786455081096
ENSG00000183486	MX2	7432.29174569277	7831.83009242446	6846.19595199901	9134.89034429751	6481.09738189319	8365.78387376193
ENSG00000183527	PSMG1	2202.62682455131	3220.95640109928	3473.40981562002	2822.13491970016	2169.93830526807	3241.04018882751
ENSG00000183570	PCBP3	20384.4875904755	22188.1244465015	18008.0583834779	22215.9706994124	21397.655708169	15545.2044608055
ENSG00000183640	KRTAP8-1	560.355800821646	760.618745390743	369.234725474023	605.059351390679	1190.24049765443	581.05184185836
ENSG00000183778	B3GALT5	3585.62606839889	2424.55983986659	2940.59552632094	1852.30685215486	3150.71913054073	3925.91165791399
ENSG00000183844	FAM3B	3111.24074334428	2924.96906158419	2704.05827145195	2381.02109988468	3603.27047702268	2965.56941791565
ENSG00000184012	TMPRSS2	11009.9441277147	13059.527326313	11595.1057992465	16376.6831561842	10981.9226775405	15235.4415505777
ENSG00000184032	KRTAP20-2	1467.8659411559	1493.6502520731	868.591543536796	1584.23662472064	838.12711258267	1220.52491753285
ENSG00000184221	OLIG1	2354.88749366793	2389.45408786743	2862.57660364991	2720.98651860909	1637.22734632212	1642.09456074459
ENSG00000184351	KRTAP19-1	447.404766264678	1140.25038419841	553.502707557803	1209.40184200743	1068.44348164997	871.075023735448
ENSG00000184724	KRTAP6-1	411.553045657367	1396.47197866199	610.137196165583	1110.87362635506	981.400127748082	568.949209896221
ENSG00000184787	UBE2G2	9067.45249282515	8915.95415216802	7297.52807734703	10282.2901791134	10897.6066998264	11530.2118051628
ENSG00000184900	SUMO3	2584.59917983992	2347.3838528049	2763.76818115433	4244.41610812916	3348.01251731473	3409.14183062517
ENSG00000185272	RBM11	4643.61434364409	3881.52668060129	3106.55968283153	3558.63475967555	3115.1007800664	4005.48431672599
ENSG00000185437	SH3BGR	8288.79348528677	10208.5816414067	8299.84527094401	12418.9093324376	8478.58398063314	12093.8259883229
ENSG00000185658	BRWD1	8972.24938779313	9937.35264501768	8569.76214503512	10315.4788199405	8567.8910513849	8462.95095108163
ENSG00000185808	PIGP	4447.13353737204	5112.91643274886	4748.62908560568	3783.17557877689	4436.90766434303	4691.80037597086
ENSG00000185917	SETD4	9279.88901027051	8380.84123246564	8333.24397140463	9934.79390095232	8759.21278317874	9541.4256618709
ENSG00000186866	POFUT2	7541.21370902099	7803.9989845526	7033.58779825655	7656.84061886795	6994.32954683334	8992.94727091118
ENSG00000186924	KRTAP22-1	2536.0183789432	1725.82433674765	1889.97101262846	1366.23401781865	1208.04192833748	2203.05360949744
ENSG00000186925	KRTAP19-6	843.047662787544	1438.85097669519	2794.97755022992	3052.20996718688	803.626008202138	1746.44422168505
ENSG00000186930	KRTAP6-2	1353.2685538622	1724.86144804314	1337.01196856358	1829.72788547129	2425.39368812456	2092.67967833846
ENSG00000186965	KRTAP19-2	1196.37560427962	1217.36025616529	591.087818517984	645.595142037108	956.174685951109	1039.27362262418
ENSG00000186967	KRTAP19-4	2626.42196666049	1786.7146711676	1381.61138708373	2833.29529995782	3350.42964223407	2171.96375035453
ENSG00000186970	KRTAP15-1	654.324218318532	442.285379681909	322.040271544491	882.509812503694	310.824498256331	565.94507516636
ENSG00000186971	KRTAP13-4	449.249004382443	608.481089372568	987.287589511197	645.383277009574	428.618735786327	619.795462772713
ENSG00000186977	KRTAP19-5	1121.60769125914	761.100699209002	1108.4910472987	479.676063299659	1426.34474723635	696.559981014555
ENSG00000186980	KRTAP23-1	6877.34906461829	8420.06572737475	5387.5696462522	5887.59958665421	3707.17518777956	8416.698167198
ENSG00000187005	KRTAP21-1	707.466906248112	540.19553039093	524.45438318116	509.294227920049	562.418568420464	366.817686237846
ENSG00000187026	KRTAP21-2	794.318196264814	483.854840832951	469.813260246251	1286.24690856678	602.600768938752	1646.87482006374
ENSG00000187175	KRTAP12-1	473.470473506199	361.520867384215	705.318438850944	642.727672270234	680.734338781994	554.103292032912
ENSG00000187766	KRTAP10-8	960.368926893893	977.870494143618	949.316821700867	621.121908214742	458.145145901422	446.900975504507
ENSG00000188155	KRTAP10-6	642.585152711684	439.378006916932	846.750823082935	278.11523177767	327.343385852392	535.813640353272
ENSG00000188694	KRTAP24-1	484.896998998771	246.89051559256	798.903147106888	523.727360891755	577.968119054726	376.808526132556
ENSG00000188992	LIPI	1947.05762071616	2020.48442176421	2211.01380724517	1803.17137666682	2367.24485797023	1853.32131502107
ENSG00000189169	KRTAP10-12	2403.96479139838	2697.90822914232	6173.98375352336	2019.43443049565	2795.90123746461	3184.66102746878
ENSG00000197381	ADARB1	13230.7994313732	22100.6088657854	16704.4000691029	15402.1349547424	12914.8409423392	14033.4251424927
ENSG00000197683	KRTAP26-1	650.830105689683	397.390882776006	256.385859153966	280.121532458109	413.996683775104	450.043150245723
ENSG00000198390	KRTAP13-1	1030.75404405602	524.746037679325	509.433648870261	556.569923412889	736.458214453341	1069.00231270092
ENSG00000198743	SLC5A3	315.311142375324	535.251510807572	692.8450634064	227.019927438584	501.545464615832	363.519475508668
ENSG00000198862	LTN1	3707.67857571069	3841.74730311841	3505.50906199546	2897.5264760444	3018.04783971894	3907.7052308992
ENSG00000205439	KRTAP12-3	786.115978908551	800.031294064403	1038.15744989638	1419.39495550098	1253.96230547853	725.937699767907
ENSG00000205445	KRTAP10-2	1608.16562300354	1068.8209600699	2277.91487290888	2188.93333901563	1195.42124880978	943.179490830838
ENSG00000205581	HMGN1	10842.1247905635	11746.8590408181	12449.1654851735	11952.0672020159	10314.1549723153	12382.2049694655
ENSG00000205670	SMIM11A	2605.43172697187	3671.9202086615	2594.28188433098	2764.97294393842	2844.04621962674	3552.62705371064
ENSG00000205726	ITSN1	25899.8109887661	29915.9945892782	26800.5321560463	198677.77183792	224577.495406117	199097.092770511
ENSG00000205758	CRYZL1	12983.139295566	13882.414964922	14678.8686966854	13543.7132523812	11207.2968371511	14291.5707255238
ENSG00000205927	OLIG2	1747.56655214409	1537.53609622592	1533.70924074558	1331.06934007653	1139.44750965997	1509.06626473746
ENSG00000205929	C21orf62	2043.71101902798	2164.73374429423	2090.50768190071	2227.85875168514	1589.07380984359	2714.37231474376
ENSG00000206102	KRTAP19-8	1592.70083700374	3239.68234480269	944.037270564979	1030.94724600122	3036.74893802259	3298.70291833026
ENSG00000206104	KRTAP20-3	1820.40944922048	6197.23413556404	5978.2353037663	1960.16337940506	4356.80848310456	6306.30452007633
ENSG00000206105	KRTAP20-4	7275.28685532414	5561.94552041953	7157.83120204713	3795.7811798531	4552.7213920927	9354.29734327928
ENSG00000206106	KRTAP22-2	1768.59462865752	2258.92569048464	1297.30945335922	3592.94546821091	4236.97275728109	4600.42982747165
ENSG00000206107	KRTAP27-1	1084.81509552837	662.699227048026	321.685526641389	525.738335693005	517.471741487137	504.888449239734
ENSG00000212933	KRTAP12-4	1166.53153095968	1187.33376985521	1152.86629057525	1679.12378294175	442.811749055129	643.770449233167
ENSG00000212935	KRTAP10-3	413.736128150162	374.476129001562	683.200132118629	297.890116707068	440.129936733123	286.082451818633
ENSG00000212938	KRTAP6-3	450.114511969963	343.700998494338	670.289368154499	610.772799303601	483.084774497351	1173.09368509554
ENSG00000215454	KRTAP10-4	1853.78764706383	2237.15021818204	1934.83790516224	1915.74154471965	1214.2026196868	1731.10243098276
ENSG00000215455	KRTAP10-1	516.372663138738	525.81510073437	852.306308186073	418.278000525047	617.008336327185	535.602273733286
ENSG00000221837	KRTAP10-9	1267.27025500198	2140.48755400542	2290.99468464203	1836.95436029313	1802.54166407914	2184.78475086643
ENSG00000221859	KRTAP10-10	409.041240101058	395.273272253828	876.381661809001	475.109077871633	254.144760564075	373.468849046096
ENSG00000221864	KRTAP12-2	413.722498756279	792.505516411815	459.780412580273	1120.75731818787	990.130804798601	322.410188215445
ENSG00000222018	FAM243A	543.193096110525	500.448927362014	787.386247424446	479.646745026896	404.92646874309	1029.97533318779
ENSG00000231068	KRTAP21-3	3736.07310587605	4253.73964305909	3682.95693869733	2656.36288173557	3139.77621021958	8667.90633353644
ENSG00000232263	KRTAP25-1	943.521407784307	1289.69526148229	621.524547234679	905.088547148172	1008.58530473425	651.80854538331
ENSG00000240432	KRTAP13-3	636.965273220674	540.869461424065	629.612295953531	573.671088550993	403.525290826994	550.92170265872
ENSG00000241123	KRTAP10-5	438.110507415535	668.530800797098	433.081175737412	378.538998785196	250.81470901985	363.53692391033
ENSG00000241837	ATP5PO	10731.6721942727	10336.2395744604	10765.0132390555	9674.50755291597	8978.54680860132	10604.6611937357
ENSG00000241945	PWP2	3157.524736114	3308.86201713322	2730.05652453458	4708.18470206662	3266.45405259676	2971.88486750239
ENSG00000242220	TCP10L	2027.94357168167	2725.54443279702	2414.50311255272	2718.13868681741	1627.35188257289	1833.28297938753
