gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000141956	PRDM15	7339.727066	9669.598081	8286.898732	6893.602459	5970.100732	6726.567955
ENSG00000141959	PFKL	5746.639627	4884.040243	8728.922847	4045.122375	5310.106687	3523.070731
ENSG00000142149	HUNK	2251.841378	2324.251884	2509.322906	2015.583518	1972.623342	1492.306188
ENSG00000142156	COL6A1	3814.285749	3885.115855	4345.787242	26775.255095	16256.604898	30747.163434
ENSG00000142166	IFNAR1	3786.70809	4707.761596	9471.986739	7951.597964	4676.656464	3507.860263
ENSG00000142168	SOD1	1867.294549	2487.41605	2348.038658	1973.05163	1269.18676	1573.223625
ENSG00000142173	COL6A2	6066.611732	5173.848286	5632.156646	4197.813483	3873.580729	4593.67766
ENSG00000142178	SIK1	5480.95852	6966.826001	6216.881976	6584.548791	8681.662355	5518.141099
ENSG00000142182	DNMT3L	1367.303482	1625.837412	2198.591099	2153.978735	1953.105513	1400.062561
ENSG00000142185	TRPM2	3488.887408	3828.492744	3475.625958	3227.236151	2947.991613	2675.927861
ENSG00000142188	TMEM50B	5550.694923	6254.868143	5328.505172	6463.743063	6267.760911	5980.0875
ENSG00000142192	APP	10713.782068	8324.093847	11628.31064	52965.600635	66858.097424	73892.3863
ENSG00000142197	DOP1B	2499.434725	2490.970901	3208.222722	1447.689663	1354.30914	1802.970595
ENSG00000142207	URB1	1702.962501	2332.427354	2555.019212	1987.179686	934.865899	1924.431429
ENSG00000154639	CXADR	5526.562404	6056.958233	3312.135612	4630.978133	4283.608388	4064.940686
ENSG00000154640	BTG3	4268.1693	5220.835973	3951.527859	2747.625821	3566.68844	3907.46794
ENSG00000154642	C21orf91	4087.44498	3685.72486	4732.75391	2518.103606	2534.359905	2229.943297
ENSG00000154645	CHODL	3341.273664	2724.646599	3707.866841	2616.317894	2792.204641	2619.268917
ENSG00000154646	TMPRSS15	2022.727274	1909.598135	1750.060448	1459.739971	1366.995349	1497.366899
ENSG00000154654	NCAM2	3655.152035	3017.884734	5095.834069	3088.432678	4366.593181	3880.486774
ENSG00000154719	MRPL39	1458.950525	1824.912247	1534.796195	975.53015	1193.153099	1386.973655
ENSG00000154721	JAM2	6448.983271	4248.117534	5548.364951	4522.248955	3565.867889	4936.213556
ENSG00000154723	ATP5PF	4429.011022	4251.162972	5346.774575	4011.680287	3859.881915	4804.231776
ENSG00000154727	GABPA	2106.237609	1427.21539	1472.316964	777.042339	788.434689	864.847961
ENSG00000154734	ADAMTS1	3257.57165	4177.557452	4116.371017	2696.534409	3330.214244	2794.64045
ENSG00000154736	ADAMTS5	360.528353	526.96142	417.393804	571.18939	271.122932	163.101813
