tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	139.928	115.572	326.135	193.65	120.346	314.022
ENST00000612610	ENSG00000277117	473.683	547.063	705.242	331.188	517.024	331.712
ENST00000620481	ENSG00000277117	299.64	377.798	363.76	281.584	137.854	303.687
ENST00000623960	ENSG00000277117	841.527	1226.369	2099.781	1006.794	1132.292	2013.396
ENST00000623903	ENSG00000277117	296.308	233.052	192.712	154.794	258.485	342.102
ENST00000623795	ENSG00000277117	459.834	979.993	824.558	449.548	479.26	1243.511
ENST00000624810	ENSG00000280071	124.606	118.419	247.205	124.269	86.385	177.39
ENST00000625036	ENSG00000280071	154.628	144.434	191.857	92.98	153.645	122.251
ENST00000620015	ENSG00000280071	783.717	297.949	72.516	669.837	443.769	525.946
ENST00000620528	ENSG00000280071	567.631	397.097	1164.117	1011.058	1001.873	529.566
ENST00000624120	ENSG00000280071	284.824	250.493	264.82	263.115	143.142	271.635
ENST00000624748	ENSG00000280071	408.106	183.322	231.348	183.055	160.958	421.921
ENST00000624648	ENSG00000280071	220.974	335.4	0	259.824	241.471	213.357
ENST00000623810	ENSG00000280071	222.106	171.701	139.094	188.795	201.74	456.073
ENST00000624714	ENSG00000280071	146.267	171.766	251.385	474.303	510.486	188.164
ENST00000623390	ENSG00000280071	207.209	80.445	108.351	84.676	139.092	82.257
ENST00000622915	ENSG00000280071	583.335	331.328	392.438	308.562	656.353	284.275
ENST00000623476	ENSG00000276612	576.52	378.472	528.973	478.976	1031.185	434.702
ENST00000617716	ENSG00000275464	1954.505	1400.734	1161.276	1889.726	772.323	1007.008
ENST00000632537	ENSG00000275464	328.942	430.769	248.63	215.207	220.193	262.933
ENST00000623011	ENSG00000275464	920.738	1315.906	1234.472	1038.937	2843.471	1147.28
ENST00000624312	ENSG00000275464	138.445	319.001	162.946	216.141	185.472	151.151
ENST00000633442	ENSG00000275464	231.362	155.342	93.159	154.434	233.122	154.485
ENST00000633593	ENSG00000275464	152.367	113.384	253.666	254.094	75.548	255.234
ENST00000634020	ENSG00000275464	132.89	160.645	100.705	181.745	183.987	198.685
ENST00000634021	ENSG00000275464	148.345	244.099	93.744	149.84	127.402	316.902
ENST00000623998	ENSG00000280433	662.396	1216.723	1230.773	656.276	1676.148	1063.269
ENST00000623744	ENSG00000280433	1859.908	954.654	1590.49	850.57	1724.32	1301.721
ENST00000464664	ENSG00000274559	248	303	206	372	372	358
ENST00000613488	ENSG00000275993	1432.653	1209.032	1490.955	2853.516	2088.837	1235.602
ENST00000624077	ENSG00000275993	301.767	334.392	562.011	356.35	437.891	383.827
ENST00000624691	ENSG00000274276	769.501	814.872	748.071	701.804	716.281	866.522
ENST00000624406	ENSG00000274276	937.936	470.166	1184.498	1154.307	376.713	617.55
ENST00000398168	ENSG00000274276	1045.06	1038.303	662.344	865.267	521.505	617.809
ENST00000618024	ENSG00000274276	945.172	1296.541	444.641	719.496	611.162	1122.359
ENST00000617706	ENSG00000274276	1257.122	1107.761	1164.549	1146.402	1033.309	953.569
ENST00000624934	ENSG00000274276	861.68	606.344	578.065	317.511	863.282	507.973
ENST00000622914	ENSG00000274276	430.332	190.029	154.526	446.062	204.12	132.875
ENST00000624808	ENSG00000274276	169.379	335.541	414.882	395.193	109.147	140.445
ENST00000623939	ENSG00000274276	172.847	89.158	348.254	171.688	138.413	227.769
