tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	621.907963	500.381621	1398.301539	681.511767	402.072053	1051.94148
ENST00000612610	ENSG00000277117	606.961618	683.07074	871.896135	336.133841	498.154559	320.479185
ENST00000620481	ENSG00000277117	618.698305	760.085152	724.652698	460.488502	214.016148	472.749856
ENST00000623960	ENSG00000277117	325.179706	461.814974	782.89289	308.17426	329.026156	586.669613
ENST00000623903	ENSG00000277117	462.934932	354.791705	290.491056	191.54989	303.654339	402.979774
ENST00000623795	ENSG00000277117	270.289553	561.350363	467.646527	209.312937	211.839498	551.158407
ENST00000624810	ENSG00000280071	904.873453	837.492855	1731.511816	714.380268	471.436376	970.615849
ENST00000625036	ENSG00000280071	2650.705748	2409.725279	3171.185111	1261.066001	1978.780608	1577.584641
ENST00000620015	ENSG00000280071	772.856608	286.318355	68.997075	523.220632	329.070521	391.07504
ENST00000620528	ENSG00000280071	477.20414	325.317399	944.273136	673.28044	633.357583	335.694672
ENST00000624120	ENSG00000280071	513.674082	440.190632	460.790755	375.837639	194.10473	369.34899
ENST00000624748	ENSG00000280071	1099.00462	480.994666	601.05498	390.40494	325.883191	856.552222
ENST00000624648	ENSG00000280071	579.056912	856.335063	0	539.222966	475.739749	421.488474
ENST00000623810	ENSG00000280071	488.838944	368.210581	295.355479	329.095633	333.841766	756.762074
ENST00000624714	ENSG00000280071	306.892626	351.155862	508.880973	788.184832	805.326342	297.647993
ENST00000623390	ENSG00000280071	1199.171468	453.461305	604.86129	387.98184	605.018705	358.746827
ENST00000622915	ENSG00000280071	2319.166934	1283.268574	1505.144089	971.426751	1961.651484	851.891619
ENST00000623476	ENSG00000276612	499.409156	319.482851	442.117879	328.652077	671.699943	283.935114
ENST00000617716	ENSG00000275464	757.758653	529.225647	434.412774	580.354434	225.169484	294.398709
ENST00000632537	ENSG00000275464	832.125109	1061.739843	606.8028	431.160031	418.796032	501.438712
ENST00000623011	ENSG00000275464	249.395842	347.35513	322.63395	222.919073	579.192811	234.335082
ENST00000624312	ENSG00000275464	541.209015	1214.866793	614.50499	669.086015	545.053055	445.384541
ENST00000633442	ENSG00000275464	1016.68533	664.984297	394.911972	537.370374	770.071124	511.673491
ENST00000633593	ENSG00000275464	1029.675866	746.264459	1653.499387	1359.394232	383.698127	1299.705398
ENST00000634020	ENSG00000275464	502.676911	591.992882	367.488409	544.404591	523.192154	566.503466
ENST00000634021	ENSG00000275464	599.982854	961.775216	365.763879	479.893642	387.355758	966.094696
ENST00000623998	ENSG00000280433	228.730038	409.439876	410.069322	179.512165	435.247156	276.859639
ENST00000623744	ENSG00000280433	595.760208	298.002665	491.570061	215.820782	415.352786	314.419974
ENST00000464664	ENSG00000274559	1380.53677	1642.928293	1106.168674	1639.563403	1556.482801	1501.873911
ENST00000613488	ENSG00000275993	375.773518	309.043137	377.333576	592.885733	412.013318	244.387363
ENST00000624077	ENSG00000275993	1596.192723	1722.899761	2867.62562	1492.420726	1740.988961	1530.091773
ENST00000624691	ENSG00000274276	373.726755	385.675171	350.556939	269.995859	261.601827	317.342699
ENST00000624406	ENSG00000274276	497.509109	243.032283	606.222182	485.001987	150.262091	247.00277
ENST00000398168	ENSG00000274276	539.394227	522.246332	329.851891	353.761492	202.411327	240.448348
ENST00000618024	ENSG00000274276	525.187825	702.060321	238.387126	316.683562	255.369884	470.258153
ENST00000617706	ENSG00000274276	635.101348	545.378722	567.667269	458.773259	392.56147	363.262945
ENST00000624934	ENSG00000274276	578.022621	396.367439	374.147145	168.712252	435.468184	256.941827
ENST00000622914	ENSG00000274276	1052.164396	452.697905	364.510815	863.758101	375.230199	244.924476
ENST00000624808	ENSG00000274276	464.69454	896.913956	1098.132663	858.664593	225.134303	290.475252
ENST00000623939	ENSG00000274276	604.868497	303.96431	1175.705532	475.786613	364.137768	600.825681
ENST00000624921	ENSG00000274276	673.196857	441.590813	797.32744	330.770595	557.35729	326.18245
ENST00000637320	ENSG00000275895	460.08269	228.2145	385.442943	508.124109	303.536377	180.115238
ENST00000623375	ENSG00000275895	502.76032	584.475461	352.950925	276.700682	185.075042	354.288534
ENST00000610664	ENSG00000275895	966.644281	280.497175	394.544414	480.795833	578.288563	332.401507
ENST00000639996	ENSG00000275895	609.303691	284.966042	1003.273737	622.020593	363.978128	549.487739
ENST00000620065	ENSG00000275895	260.613161	637.551223	688.433283	414.40995	328.27127	313.594979
ENST00000636923	ENSG00000275895	474.271046	306.172665	716.962261	234.752512	319.562239	326.655394
ENST00000624739	ENSG00000275895	452.511469	559.131627	258.881132	303.19423	231.315831	540.195556
ENST00000619610	ENSG00000275895	139.446466	177.009311	0	355.870878	199.231203	227.437065
ENST00000636315	ENSG00000275895	535.998129	540.416235	817.337277	367.390961	622.492309	470.975631
ENST00000637031	ENSG00000275895	3941.622667	3000.342623	3817.334934	1500.189362	2297.399318	1845.657399
ENST00000636177	ENSG00000275895	309.396088	463.631389	294.909268	469.279047	262.346596	569.946079
ENST00000636403	ENSG00000275895	436.853046	434.043197	1386.724633	472.539851	416.658225	292.700209
ENST00000619537	ENSG00000276076	674.596064	427.662673	475.374345	302.184819	279.898423	450.777575
ENST00000624019	ENSG00000276076	348.791242	351.990749	719.835884	409.07251	588.908062	358.256507
