UniqueCount	AmbigCount
0	532
0	1911
10	1027
114	4384
56	1432
0	3057
27	877
115	178
21	3870
1	5101
0	1873
58	440
0	1902
0	1531
91	2054
124	186
351	391
166	3870
39	2708
5	659
383	3898
41	323
232	3
74	3
104	201
82	163
229	5798
0	6042
372	0
483	3263
197	366
81	6607
0	7815
0	8162
0	7182
0	8165
0	6504
97	301
1	869
27	997
45	1353
0	3002
62	3221
0	3013
0	3344
0	3278
54	2794
58	5559
0	2328
0	1478
165	101
182	2409
0	576
6	1686
13	671
0	929
0	1142
154	0
0	1612
0	849
0	1211
7	983
127	827
0	688
249	598
308	349
72	833
392	484
0	4976
0	4942
0	1116
29	521
274	2190
60	417
69	2265
62	2095
64	1857
235	796
327	796
125	1723
0	1808
36	1543
0	223
6	2009
74	376
34	1560
102	121
3	1927
66	699
2274	165
64	165
68	2935
40	3992
0	4548
157	4843
74	4102
0	4545
555	16
0	113
327	292
185	377
66	0
202	0
22	5588
37	5579
77	5581
123	486
61	313
139	18
129	18
89	5723
101	3260
50	6735
122	6861
0	1025
22	708
379	12
24	520
0	550
1201	1255
1236	1161
151	934
81	1
88	390
130	882
136	845
122	870
91	239
158	13
214	159
130	78
1000	1375
46	1374
117	1075
145	934
202	424
180	0
139	5271
0	4801
0	4927
0	5397
229	5226
43	3787
3	4738
2226	201
136	201
93	31
2172	5260
29	432
0	5260
78	571
185	39
36	958
138	958
49	580
102	1353
4	3958
125	3750
65	683
227	3
28	58
326	91
77	295
46	911
20	936
90	910
53	933
64	1076
425	1131
190	268
135	2818
72	2832
61	241
0	83064
36	71617
0	76747
21	79111
1262	74961
597	63310
0	64486
812	8372
757	53958
362	30633
1996	3383
397	4116
418	20181
942	7264
432	0
2822	173
1120	0
1236	459
140	459
1344	3382
668	2644
0	852
28	811
37	730
28	377
2717	0
0	3424
59	3180
91	795
0	6406
0	6456
3	6456
177	242
102	206
94	2256
190	1199
475	2622
23	2709
64	2243
90	2709
4	719
5	823
85	276
66	3897
0	4106
46	3954
343	3795
116	273
666	634
65	221
161	2704
197	931
65	2940
17	3132
17	2961
94	72
168	80
58	1084
55	711
119	847
122	98
159	689
0	271
78	548
0	4364
74	4719
105	4487
65	4292
0	4134
92	4196
12	3593
53	1033
114	4093
10	1478
40	1304
124	199
51	1702
84	14
94	14
84	14
139	32
19	5324
122	5324
58	0
12	987
12	972
86	739
84	437
81	276
561	137
0	8053
0	7941
0	8243
0	8646
30	7329
0	8453
0	8256
9	4122
716	0
930	0
742	0
111	0
358	0
205	0
36	0
390	0
337	0
168	0
215	0
120	0
388	0
114	0
188	0
186	0
276	0
59	0
79	0
176	0
171	0
141	0
53	0
225	0
65	0
53	0
103	0
123	0
60	0
105	0
180	0
334	0
194	0
219	0
190	0
141	8616
277	118
172	8559
310	5310
469	269
433	1223
44	979
71	482
35	467
171	30
200	459
0	5595
105	5286
57	4904
387	2335
355	22
112	1287
2518	432
109	242
138	175
133	76
707	3
97	3
31	829
92	765
25	774
78	1
2821	598
67	24
132	0
208	2123
272	318
0	4748
1	3056
0	3789
161	2570
4	3393
110	3641
202	60
210	999
221	3352
129	368
18	1454
651	519
131	239
54	436
26	345
79	777
82	890
250	0
62	1025
0	2814
68	1457
97	728
63	855
160	1641
45	568
29	11909
0	11747
0	5820
0	11484
0	12141
5	8223
57	458
229	27
28	513
0	3628
17	869
38	5285
450	2611
20	4395
250	1770
140	3802
85	0
46	56
10	2246
145	2098
95	900
32	874
32	685
60	770
61	1262
81	94
222	1346
577	587
60	586
28	164
0	2415
530	4114
0	3903
49	148
38	3367
27	1766
0	1229
0	1531
139	1062
0	768
85	5596
98	1355
63	728
133	2583
44	814
183	2359
26	358
136	1031
305	553
23	553
90	0
1063	150
24	150
201	1876
94	554
31	1981
55	966
45	1932
327	0
73	96
123	2785
68	62
289	201
37	2463
96	602
202	786
232	0
133	74
360	27
302	2116
86	1798
0	2090
103	1751
15	7028
104	7019
45	7028
108	6679
222	4
472	0
80	61
180	634
493	3651
391	662
170	49
25	712
104	2166
82	2048
38	1648
139	1
96	941
106	788
161	12663
111	68
73	3802
334	9380
8	12689
408	8762
43	47
0	8562
56	1301
410	2
121	0
0	1586
102	1102
0	1016
0	1252
14	1543
54	2712
0	2076
178	1145
0	1791
158	0
176	3149
60	3869
52	3973
1	4892
90	3468
27	1487
75	2038
1	3511
119	3469
40	2709
147	782
58	238
204	726
13	3268
0	2722
126	801
84	2912
84	2119
127	223
128	646
85	311
0	654
72	3062
0	2337
146	3185
90	1276
55	281
105	36
17	1078
28	1058
176	86
15	755
108	878
95	161
223	0
110	0
163	71110
2174	5681
331	3383
12899	89986
0	80584
512	80770
0	89048
3	82546
0	68469
0	76983
1479	2612
211	14535
0	54267
525	0
1247	47968
430	6947
1065	475
412	7509
278	7278
2576	0
973	3510
1941	516
24	872
0	7348
481	7244
0	13363
0	7156
211	5353
0	13171
1063	5855
2155	1543
304	2849
54	227
570	911
81	826
79	106
139	95
113	58
171	158
89	480
37	0
59	215
21	928
65	867
73	948
576	1378
54	1369
5209	0
283	0
5	1628
0	857
7	1214
32	758
0	708
0	983
0	363
1	5905
0	5862
46	5514
3	6118
0	5826
72	1906
0	1032
52	1039
680	155
81	0
32	7619
0	7971
0	7707
297	7585
117	7984
73	7745
116	7578
39	7565
0	7668
135	7675
45	950
438	352
153	104
132	2875
95	2875
0	10189
26	8924
178	9005
63	2559
59	2429
59	157
67	2784
644	0
44	1161
158	0
99	390
373	125
84	127
67	0
163	0
2162	0
37	124
290	6274
130	5038
76	6403
22	6186
962	3408
108	521
7	2756
25	2527
45	2689
35	2477
2	1782
8	1687
74	873
12	1048
17	412
476	0
104	211
15	824
501	1604
104	1466
253	674
41	762
280	0
54	106
1187	594
23	102
398	386
127	573
0	5890
48	5703
100	0
355	122
131	151
83	1289
116	1129
72	1304
60	649
110	932
59	697
1227	279
146	247
211	32
46	2684
288	3102
83	3097
18	2825
51	2825
97	0
688	827
226	2560
1425	2559
37	1593
148	0
56	7885
52	7885
433	7314
115	315
64	465
134	446
183	297
24	1849
37	1776
114	1849
1051	3053
40	3247
51	676
11	1098
11	1108
156	1016
117	131
152	236
31	2294
159	13059
55	12567
0	8856
50	12369
0	20895
60	2320
52	4896
103	2184
26	7621
498	2148
368	21153
351	1185
0	21490
58	20488
247	364
148	2
287	18066
49	1449
140	1554
115	1697
92	4381
88	1332
57	1618
106	797
2108	3507
0	5486
952	4967
56	1178
66	1266
52	1388
113	1065
332	0
47	562
227	587
78	31
117	395
39	395
99	8900
150	10214
110	14133
44	11448
0	11227
344	14083
55	11232
8	594
2	1681
5	11503
0	15228
1987	14895
149	78
92	5994
8	7766
145	6069
140	6080
14	7499
238	728
476	629
66	3650
8	3436
43	6924
1493	1515
10209	2815
175	2815
276	0
67	525
29	748
20	616
68	440
9	221
3	143
60	138
6	6595
157	5839
62	503
1	1426
1398	6197
140	214
137	150
31	5634
109	5271
48	2253
0	6189
5	6308
42	1340
44	756
0	15341
0	15203
17	15674
25	13945
0	15818
0	16211
0	15748
0	16001
17	4582
46	5933
53	2728
165	2758
9	3551
171	3429
48	1400
390	5
185	3843
45	3844
220	533
84	973
285	940
79	394
147	690
39	602
49	536
1155	11317
37	7297
2547	11655
71	11682
72	320
51	1447
119	653
48	3305
77	3654
143	3753
63	3700
51	3929
101	0
512	588
238	364
258	0
8	2194
574	3423
49	2492
27	2098
74	2981
17	1762
88	1402
20	1334
99	1405
65	1169
82	863
40	1157
22	341
72	845
80	248
2	330
14	646
33	496
192	240
119	364
82	1787
72	2832
66	3134
24	3795
0	3795
220	1459
95	2807
386	2736
92	276
0	514
117	2599
73	1390
17	3112
194	0
110	429
17	3378
17	2430
338	2093
116	645
276	514
52	263
1190	137
1	601
72	34
177	2921
92	3546
0	2929
8	3786
0	4061
44	1118
97	86
166	2470
62	933
34	593
158	183
25	1558
134	416
91	1347
94	751
244	804
0	1431
100	680
85	729
87	624
21	574
41	502
185	0
38	2513
28	2103
128	933
138	860
65	1648
109	2526
0	1543
40	8
62	498
2939	5545
157	0
54	5548
181	5549
68	5544
3	5225
556	873
165	796
104	77
69	411
197	359
109	400
122	352
566	3826
5	3826
55	3378
0	5047
137	4406
2262	4225
93	176
70	1334
97	1140
48	3826
17	1750
37	1533
55	1
813	1284
401	339
99	1686
105	1687
67	1362
31	1686
252	2447
46	355
79	344
240	24
731	24
227	3
69	361
555	2087
33	630
187	126
20	340
654	77
236	1117
81	552
192	90
167	6611
17	1008
114	338
97	5445
38	6050
28	1525
59	70
10	1522
1	668
562	73
126	2
193	4623
138	4044
153	0
259	323
135	80
41	5056
50	5036
163	380
0	3262
76	2961
192	45
102	696
307	0
2	50
108	170
93	88
102	2306
76	2306
33	5119
1279	6630
29	13742
115	15734
119	14563
45	15506
0	16132
0	14425
1	13737
0	11254
87	251
97	482
23	1288
81	336
83	1104
30	517
5	5253
7	7070
187	7014
256	4619
13	5447
217	1510
137	626
160	0
139	9293
0	10227
98	8454
25	8273
57	475
72	239
124	17
247	184
0	8646
175	8371
0	8589
0	8314
162	2164
131	2173
102	1270
192	1764
80	2201
39	1817
104	266
52	412
22	3630
236	139
73	6726
96	6726
41	6698
60	812
0	6878
0	6833
43	6698
455	6128
68	5627
50	702
373	1384
250	255
1	278
28	278
159	162
101	322
54	288
89	275
198	0
24	5057
0	5083
268	5106
965	3058
30	4514
157	4732
95	4759
27	1912
26	85
13	814
5	2700
85	434
103	2502
116	340
181	677
126	2624
40	2307
266	2477
770	795
71	1070
20	708
383	1
183	148
58	1975
107	0
91	152
137	1918
283	33
315	0
110	80
93	952
16	182
12	11877
78	11875
57	12387
56	11997
197	76
36	11466
18	10108
29	12076
84	11492
20	11763
25	11659
54	11324
50	12133
56	11376
0	12332
57	11507
72	11249
21	11223
12	10108
13	11493
16	11290
22	11614
67	2593
36	10331
1077	8511
92	73
25	1665
180	2798
10	2851
18	2786
15	870
12	723
158	368
114	1030
22	1037
1680	9
58	666
9	5344
129	5071
67	176
295	465
153	0
0	1600
124	399
45	364
83	85
131	28
22	605
78	6594
0	7817
0	8239
0	7184
3	8182
0	890
261	1503
517	1773
0	908
76	1575
221	865
231	8
56	1531
20	1509
44	1179
88	980
196	0
0	3160
42	2982
103	3221
0	3291
53	5750
18	2806
22	3014
0	3343
25	1469
200	2409
0	576
35	1686
134	1542
9	671
36	1147
0	1439
367	3263
149	1
32	341
148	102
32	414
313	342
68	342
706	4090
343	4090
66	2218
23	5232
1	5914
184	749
217	1
102	189
123	0
42	1177
137	2257
105	255
131	1555
15	874
0	2147
9	909
28	5537
22	1750
97	1590
226	1125
203	170
9	3307
171	3354
62	3851
943	3805
68	366
53	3189
180	671
364	411
376	0
78	3054
15	2504
37	8199
192	0
98	322
18	7377
23	7377
154	797
88	8075
86	7929
59	2410
232	4
63	386
148	2404
49	438
0	4928
107	3384
96	436
736	2537
91	359
241	648
50	9156
94	6721
75	171
106	107
793	7376
13	1058
0	943
13	937
77	923
176	544
0	6054
46	2689
79	193
21	372
236	3664
5	659
159	473
2	5028
156	339
216	1214
220	2716
116	2354
0	1532
76	2054
0	3332
0	1901
398	529
50	391
101	1304
375	1067
179	19
342	0
0	1661
1197	4731
295	4380
0	3885
167	440
163	1180
0	1455
35	643
685	2656
177	1771
347	2112
72	936
0	1440
1	6552
280	6642
59	1203
923	7912
0	58
150	910
203	7849
0	6499
106	1663
0	5351
0	5493
77	1647
754	1591
19	728
155	1360
2202	1324
37	1872
0	1771
114	119
48	10350
14	406
98	10350
158	8826
57	9409
31	9449
33	2852
175	1141
2113	0
0	4539
0	4539
27	3413
294	2463
546	0
310	24
64	24
291	0
78	415
368	369
126	40
207	0
295	5
277	26
263	0
261	216
81	28
141	188
160	79
333	0
80	0
184	0
444	0
211	0
157	0
85	0
225	2586
532	2140
85	1118
60	1027
64	600
53	833
132	200
83	262
181	103
23	238
172	0
908	0
60	1697
11	1898
165	1960
32	1773
312	1
174	221
56	2498
33	3094
163	2520
185	421
183	29
261	213
102	44
21	5823
20	9866
18	9868
103	8150
1256	9561
92	9893
73	10425
29	9625
0	10392
93	979
0	3094
161	211
109	1323
59	1217
25	1020
56	556
244	458
93	298
34	456
92	66
31	204
88	105
85	301
62	155
102	741
14	861
76	250
113	586
53	228
143	34
679	195
0	13295
83	12721
0	13104
0	13301
110	8888
0	14585
54	1418
81	86
0	48
0	12145
0	13672
256	49
59	56
107	4657
577	5584
0	5944
0	5764
294	5428
0	4387
8	344
1	635
0	320
109	759
102	1317
48	972
15	867
206	635
71	6729
49	6948
340	6946
76	4790
145	468
38	728
320	1175
1356	911
104	3112
155	0
44	1814
59	115
575	3249
84	2736
57	2345
41	1010
0	1049
127	0
138	121
327	0
63	3717
85	0
122	9
112	579
23	411
49	498
204	360
131	429
518	54
126	3200
6	3777
39	3400
0	2358
128	0
313	226
146	0
75	3047
0	1965
53	1045
63	508
664	22189
214	16612
1040	0
540	0
421	3662
149	15356
60	5934
273	2991
0	3656
210	585
4	3624
31	3287
110	0
119	93
121	399
15	78
78	750
166	2588
36	2893
119	2902
37	128
0	3023
82	2540
210	434
201	72
57	0
274	0
44	627
513	627
164	3770
112	1281
147	5618
54	201
14	5465
6	2965
103	3362
90	0
0	1582
55	1298
75	251
2	7230
125	4624
507	5676
275	5496
32	7231
4	806
180	267
104	7
249	139
48	0
18	1398
0	913
56	476
0	1861
159	868
132	251
86	1313
83	1279
183	1032
88	1765
106	1340
51	3530
0	3894
380	2696
100	3434
33	698
105	1843
162	1845
284	10050
80	931
145	9872
41	670
63	701
37	349
39	618
230	0
58	11950
128	6584
130	5904
0	6444
67	12202
20	3996
180	4427
395	1283
399	944
489	332
304	4390
82	4309
62	643
263	575
307	124
282	6083
60	4914
60	4899
0	6221
54	2874
478	6009
229	2826
0	3093
56	5139
66	3135
78	2654
16	3037
53	1349
98	796
100	282
1741	2558
